"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"1","10X003RW","KKS 8403 R","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20143462","20140822","R"
"2","15W0053R","","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20194294","20190912","R"
"3","15W0055","KKS 8555 R","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20184153","20180816","R"
"4","15Y1208B","KKS 8418 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20194256","20190912","B"
"5","3X28B174WYB","","Klein Karoo Seed Marketing","White","Zea mays","GM","","","B"
"6","AF94894946WBR","P2865W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194283","20190912","BR"
"7","AFG4270B","KKS 4270 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102767","20100806","B"
"8","AFG4412B","KKS 4412 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20062389","20060801","B"
"9","AFG4434R","KKS 4434 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20072487","20070801","R"
"10","AFG4474R","KKS 4474 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102762","20100806","R"
"11","AFG4475B","","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20082587","20080807","B"
"12","AFG4479R","KKS 4479 R","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082589","20080807","R"
"13","AFG4522B","KKS 4522 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20062392","20060801","B"
"14","AFG4572R","KKS 4572 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102763","20100806","R"
"15","AFG4573B","KKS 4573 B","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082591","20080807","B"
"16","AFG4577B","KKS 4577 B","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082593","20080807","B"
"17","AFG4581BR","KKS 4581 BR","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20102732","20100521","BR"
"18","BG3492B","PHB 3X6H922 T B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102771","20100816","B"
"19","BG3568R","P 1395R R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123170","20120814","R"
"20","BG3592R","PHB 32D77 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123178","20120814","R"
"21","BG3768BR","P 1395YR BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123171","20120814","BR"
"22","BG3792BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143480","20140822","BR"
"23","BG4401B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20112954","20110729","B"
"24","BG5485B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20112956","20110729","B"
"25","BG5685R","PAN 5685 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20112958","20110729","R"
"26","BG5785BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20143463","20140822","BR"
"27","BG6308B","PHB 3SA50154084B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143481","20140822","B"
"28","BG6683R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20112957","20110729","R"
"29","DKC60-76BR","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","","","BR"
"30","DKC61-94BR","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","A 20123165","20120814","BR"
"31","DKC62-80BR","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","A 20102860","20100816","BR"
