locality,provence
ALMA,LP
AMERSFOORD,MP
ARGENT,MP
ARLINGTON,FS
ARNOT,MP
ASCENT,.
ATHOLE,NW
BAINSVLEI,FS
BALFOUR,MP
BAPSFONTEIN,GP
BAYENESFIELD,KZN
BERGVILLE,KZN
BETHAL,MP
BETHLEHEM,FS
BIZANA,EC
BLESBOKFONTEIN,FS
BLOEKOMSPRUIT,GP
BLOEMFONTEIN,FS
BOSKOP,NW
BOTHAVIILE,FS
BRONKHORSTSPRUIT,GP
BULTFONTEIN,FS
BURGERSHALL,MP
CARLETONVILLE,GP
CEDARA,KZN
CHRISSIESMEER,MP
CLOCOLAN,FS
COLIGNY,NW
CORNELIA,FS
DANIÎLSRUS,KZN
DELAREYVILLE,NW
DELMAS,MP
DEVON,GP
DOORNHOEK,KZN
DUNDEE,KZN
DWAALBOOM,LP
DAHNE,EC
EASTLONDON,EC
ENDICOT,MP
ERMELO,MP
FICKSBURG,FS
FRANKFORT,FS
GELUKSBURG,KZN
GERDAU,NW
GLAUDINA,NW
GLEN,KZN
GREENLANDS,KZN
GREYTOWN,WC
GROOTFONTEIN,NW
GROOTPAN,NW
H,.
HARRISMITH,FS
HARTBEESFONTEIN,NW
HEIDELBERG,GP
HENDRINA,MP
HENNENMAN,FS
HOOGEKRAAL,WC
HOOPSTAD,NW
HOWICK,KZN
HUMANSKRAAL,EC
ITSOSENG,KZN
JIMFOUCHE,.
KAALFONTEIN,GP
KAMEEL,NW
KAPSTEEEL,WC
KARKLOOF,KZN
KESTELL,FS
KHAMBULA,KZN
KINROSS,MP
KLERKSDORP,NW
KOKSTAD,KZN
KOPPIES,FS
KOSTER,NW
KRANSKOP,KZN
KROONSTAD,FS
LEANDRA,MP
LEEUDORINGSTAD,NW
LERIBE,FS
LICHTENBURG,NW
LOSBERG,KZN
LOSKOP,MP
LUNENBURG,MP
LYDENBURG,MP
MACHACHE,GP
MACHAVIE,GP
MACLEAR,EC
MAFIKENG,NW
MAKHATINI,FS
MALKERNS,MP
MALTA,FS
MAREETSANE,NW
MARQUARD,FS
MASERU,FS
MATLA,MP
MEERLUST,WC
MELMOTH,KZN
MEMEL,FS
MIDDELBURG,EC
MIDDELDRIFT,EC
MMABATHO,NW
MORGENZON,MP
MOUNTWEST,KZN
NAMPO,FS
NDABAKAZI,EC
NEWCASTLE,KZN
NIGEL,GP
NOOITGEDACHT,WC
NORMANDIEN,KZN
NORTHAM,LP
OBERHOLZER,GP
OGIES,MP
OLIFANTSFONTEIN,GP
ORANJEFONTEIN,FS
OTTOSDAL,NW
OUDEDORP,NW
PETIT,GP
PETRUSSTEYN,FS
PIETERMARITZBURG,KZN
PIETERSBURG,LP
PIETPLESSIS,NW
PIETRETIEF,MP
POTCHEFSTROOM,NW
POTGIETERSRUS,LP
REITZ,FS
RICHMOND,NC
RIETGAT,NC
ROBERTSDRIFT,MP
ROETAN,LP
ROODEPLAAT,GP
RUNDU,NW
RUSHOF,MP
SANNIESHOF,NW
SASOLBURG,FS
SCHWEIZERREINEKE,NW
SETLAGOLE,NW
SOEKMEKAAR,LP
SPRINGS,GP
STANDERTON,MP
SYFERBULT,NW
TAFELKOP,LP
TAUNG,NW
TSOLO,EC
TUINPLAAS,LP
TWEEBUFFELS,NW
TWEELING,FS
TY,.
UKULINGA,KZN
UMTATA,EC
VAALHARTS,NC
VENTERSBURG,FS
VENTERSDORP,NW
VIERFONTEIN,FS
VILJOENSKROON,FS
VREDE,FS
VREDEFORT,FS
VRYHEID,KZN
WARDEN,FS
WARMBAD,LP
WEESELSBRON,FS
WINDFIELD,FS
WINTERTON,KZN
WITFONTEIN,LP
WOLMARANSTAD,NW
WONDERFONTEIN,MP
ZOETMELKSVALLEI,WC
BURGERSFORT,LP 
CRADOCK,EC 
DANIELSRUS,KZN 
DOHNE,EC 
GROBLERSDAL,LP 
HARDAP,. 
HOPETOWN,NC
JIMFOUCHE,.
MOLATEDI,.
NKWALENI,.
RIETRIVIER,. 
UPINGTON,NC
