Year,Provence,Region,locality_no,locality,cultivar_no,breeder,cultivar_name,Rep,yield,temp,Yellow,White,Irrigated
2016,FS,west,32, WESSELSBRON,1,Link Seed,LS8518,1,4.99,,1,0,0
2016,FS,west,32, WESSELSBRON,1,Link Seed,LS8518,2,5.37,,1,0,0
2016,FS,west,32, WESSELSBRON,1,Link Seed,LS8518,3,6.04,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,1,2.47,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,2,1.28,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,3,2.24,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,1,2.25,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,2,2.17,,1,0,0
2016,NW,west,6, COLIGNY,1,Link Seed,LS8518,3,1.83,,1,0,0
2016,WC,west,9,HOOGEKRAAL,1,Link Seed,LS8518,1,7.49,,1,0,0
2016,WC,west,9,HOOGEKRAAL,1,Link Seed,LS8518,2,8.55,,1,0,0
2016,WC,west,9,HOOGEKRAAL,1,Link Seed,LS8518,3,8.7,,1,0,0
2016,NW,west,15,MIGDOL,1,Link Seed,LS8518,1,2.63,,1,0,0
2016,NW,west,15,MIGDOL,1,Link Seed,LS8518,2,1.74,,1,0,0
2016,NW,west,15,MIGDOL,1,Link Seed,LS8518,3,2.15,,1,0,0
2016,NW,west,22,PUTFONTEIN,1,Link Seed,LS8518,1,4.93,,1,0,0
2016,NW,west,22,PUTFONTEIN,1,Link Seed,LS8518,2,5.42,,1,0,0
2016,NW,west,22,PUTFONTEIN,1,Link Seed,LS8518,3,8.89,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,1,2.63,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,2,2.23,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,3,1.98,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,1,2.89,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,2,1.86,,1,0,0
2016,NW,west,24,TWEEBUFFELS,1,Link Seed,LS8518,3,2.81,,1,0,0
2016,FS,west,27,VILJOENSKROON,1,Link Seed,LS8518,1,2.24,,1,0,0
2016,FS,west,27,VILJOENSKROON,1,Link Seed,LS8518,2,3.24,,1,0,0
2016,FS,west,27,VILJOENSKROON,1,Link Seed,LS8518,3,2.81,,1,0,0
2016,FS,west,32, WESSELSBRON,2,Pannar,PAN6Q-408CB,1,6.38,,1,0,0
2016,FS,west,32, WESSELSBRON,2,Pannar,PAN6Q-408CB,2,6.24,,1,0,0
2016,FS,west,32, WESSELSBRON,2,Pannar,PAN6Q-408CB,3,7.69,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,1,2.32,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,2,3.1,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,3,3.13,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,1,3.02,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,2,3.87,,1,0,0
2016,NW,west,6, COLIGNY,2,Pannar,PAN6Q-408CB,3,2.95,,1,0,0
2016,WC,west,9,HOOGEKRAAL,2,Pannar,PAN6Q-408CB,1,8.07,,1,0,0
2016,WC,west,9,HOOGEKRAAL,2,Pannar,PAN6Q-408CB,2,9.26,,1,0,0
2016,WC,west,9,HOOGEKRAAL,2,Pannar,PAN6Q-408CB,3,9.6,,1,0,0
2016,NW,west,15,MIGDOL,2,Pannar,PAN6Q-408CB,1,1.18,,1,0,0
2016,NW,west,15,MIGDOL,2,Pannar,PAN6Q-408CB,2,3.48,,1,0,0
2016,NW,west,15,MIGDOL,2,Pannar,PAN6Q-408CB,3,1.98,,1,0,0
2016,NW,west,22,PUTFONTEIN,2,Pannar,PAN6Q-408CB,1,6.04,,1,0,0
2016,NW,west,22,PUTFONTEIN,2,Pannar,PAN6Q-408CB,2,6.74,,1,0,0
