"","color","technology","year","mean","SD"
"1","white","B",2011,8.48639121976917,2.85309756497356
"2","white","B",2012,6.59253216953293,2.63795432725768
"3","white","B",2013,7.28586282190846,3.46409353934681
"4","white","B",2014,7.98881525974815,2.79991081680778
"5","white","B",2016,5.36078694817658,3.19693025156443
"6","white","B",2017,8.15835739488905,2.79297398142794
"7","white","B",2018,6.88749259259259,1.86802839049476
"8","white","B",2019,4.94231848431373,1.79793583441059
"9","white","BR",2011,8.69626608158542,2.80247259309806
"10","white","BR",2012,7.71791558451724,3.51022351054587
"11","white","BR",2013,6.80185423943375,3.28940024386897
"12","white","BR",2014,7.62038315017449,2.75115471017014
"13","white","BR",2016,5.46065677966102,3.49110130404013
"14","white","BR",2017,7.51107825053427,2.70039760861642
"15","white","BR",2018,7.98863659666859,2.55410141963202
"16","white","BR",2019,6.6645824525009,3.19613526064984
"17","white","conv",2011,8.10382004354449,2.88790220775354
"18","white","conv",2012,6.68679697345493,2.91432294597173
"19","white","conv",2013,7.18638772834659,3.32175045448695
"20","white","conv",2014,7.96456906557164,2.66226554933991
"21","white","conv",2016,5.44812108559499,3.45132219796673
"22","white","conv",2017,9.88737113941273,3.73690547366969
"23","white","conv",2018,7.50601655346702,2.92958657597952
"24","white","conv",2019,6.59017062372807,3.27139265871997
"25","white","R",2011,8.28836901937075,2.80824967879622
"26","white","R",2012,6.62418603703881,2.65033349220619
"27","white","R",2013,6.67504949442381,3.10959301706437
"28","white","R",2014,7.87320641585366,2.75223976983975
"29","white","R",2016,4.84638888888889,3.16413255193292
"30","white","R",2017,7.4346313187584,2.73584383859145
"31","white","R",2018,8.02422353321935,2.48863383335054
"32","white","R",2019,6.85331130778524,3.22828439008929
"33","yellow","B",2011,8.43912774722962,3.17026407688642
"34","yellow","B",2012,7.7557395531157,3.59268942526712
"35","yellow","B",2013,7.94270863845062,3.90545929758581
"36","yellow","B",2014,9.14286462488755,3.54481885773675
"37","yellow","B",2016,6.82095541401274,4.40393109451566
"38","yellow","B",2017,7.86524250793161,3.25563402089061
"39","yellow","B",2018,8.17528294561446,2.85206190549673
"40","yellow","B",2019,6.93335525788333,2.99378874293769
"41","yellow","BR",2011,9.89133702515695,3.45304165469789
"42","yellow","BR",2012,8.36273076315784,3.94224252666144
"43","yellow","BR",2013,9.56215722453675,4.39461421352809
"44","yellow","BR",2014,10.493763554233,3.90527664999998
"45","yellow","BR",2016,9.97290657439446,5.34643811797307
"46","yellow","BR",2017,9.15543460272672,3.74666553488626
"47","yellow","BR",2018,8.95809056047192,3.40687088104254
"48","yellow","BR",2019,8.21508306609656,4.14022327127955
"49","yellow","conv",2011,8.76781967521624,3.26680789594752
"50","yellow","conv",2012,8.02341017792323,3.6990241306307
"51","yellow","conv",2013,8.41532639508862,3.83034021323699
"52","yellow","conv",2014,8.9491517178861,3.53987806455795
"53","yellow","conv",2016,6.58665658093797,4.16691152814645
"54","yellow","conv",2017,8.51658568014022,3.49616980579668
"55","yellow","conv",2018,9.00352491159582,3.11540782018307
"56","yellow","conv",2019,7.60767225897926,3.54120018869896
"57","yellow","R",2011,9.00086553373364,3.48208714513812
"58","yellow","R",2012,8.41971572593667,3.72691873928023
"59","yellow","R",2013,8.62830464786901,3.86251756581915
"60","yellow","R",2014,9.02659769081838,3.58685671700682
"61","yellow","R",2016,7.71349705304519,4.75339857183961
"62","yellow","R",2017,9.52616549487993,3.88899420780033
"63","yellow","R",2018,9.3383142490962,3.42253574409123
"64","yellow","R",2019,7.40436146487243,3.69284304699476
"65",NA,NA,NA,NA,NA
